"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Niger",NA,135,4.02799987792969,NA,4.11194681972265,3.94405293613672,0.161925330758095,0.993025004863739,0.36365869641304,0.26850500702858,NA,2017
"Malawi",NA,136,3.97000002861023,NA,4.07747881740332,3.86252123981714,0.233442038297653,0.512568831443787,0.466914653778076,0.315089583396912,NA,2017
"Chad",NA,137,3.93600010871887,NA,4.0347115239501,3.83728869348764,0.438012987375259,0.953855872154236,0.16234202682972,0.0411347150802612,NA,2017
"Zimbabwe",NA,138,3.875,NA,3.97869964271784,3.77130035728216,0.375846534967422,1.08309590816498,0.336384207010269,0.196763753890991,NA,2017
"Lesotho",NA,139,3.80800008773804,NA,4.04434397548437,3.5716561999917,0.521021246910095,1.19009518623352,0.390661299228668,0,NA,2017
"Angola",NA,140,3.79500007629395,NA,3.95164193540812,3.63835821717978,0.858428180217743,1.10441195964813,0,0.0498686656355858,NA,2017
"Afghanistan",NA,141,3.79399991035461,NA,3.87366141527891,3.71433840543032,0.401477217674255,0.581543326377869,0.106179520487785,0.180746778845787,NA,2017
"Botswana",NA,142,3.76600003242493,NA,3.87412266626954,3.65787739858031,1.12209415435791,1.22155499458313,0.505196332931519,0.341755509376526,NA,2017
"Benin",NA,143,3.65700006484985,NA,3.74578355133533,3.56821657836437,0.431085407733917,0.435299843549728,0.425962775945663,0.209930211305618,NA,2017
"Madagascar",NA,144,3.64400005340576,NA,3.71431910589337,3.57368100091815,0.305808693170547,0.913020372390747,0.189196765422821,0.375223308801651,NA,2017
"Haiti",NA,145,3.6029999256134,NA,3.73471479773521,3.47128505349159,0.368610262870789,0.640449821949005,0.0303698573261499,0.277321130037308,NA,2017
"Yemen",NA,146,3.59299993515015,NA,3.69275031983852,3.49324955046177,0.591683447360992,0.93538224697113,0.249463722109795,0.310080915689468,NA,2017
"South Sudan",NA,147,3.59100008010864,NA,3.72553858578205,3.45646157443523,0.39724862575531,0.601323127746582,0.147062435746193,0.163486003875732,NA,2017
"Liberia",NA,148,3.53299999237061,NA,3.65375626087189,3.41224372386932,0.119041793048382,0.872117936611176,0.332881182432175,0.229918196797371,NA,2017
"Guinea",NA,149,3.50699996948242,NA,3.58442812889814,3.4295718100667,0.244549930095673,0.791244685649872,0.348587512969971,0.194129139184952,NA,2017
"Togo",NA,150,3.49499988555908,NA,3.59403811171651,3.39596165940166,0.305444717407227,0.431882530450821,0.38042613863945,0.247105568647385,NA,2017
"Rwanda",NA,151,3.47099995613098,NA,3.54303023353219,3.39896967872977,0.368745893239975,0.945707023143768,0.581843852996826,0.326424807310104,NA,2017
"Syria",NA,152,3.46199989318848,NA,3.66366855680943,3.26033122956753,0.777153134346008,0.396102607250214,0.0815394446253777,0.50053334236145,NA,2017
"Tanzania",NA,153,3.34899997711182,NA,3.46142975538969,3.23657019883394,0.511135876178741,1.04198980331421,0.390017777681351,0.364509284496307,NA,2017
"Burundi",NA,154,2.90499997138977,NA,3.07469033300877,2.73530960977077,0.091622568666935,0.629793584346771,0.0599007532000542,0.151610791683197,NA,2017
"Central African Republic",NA,155,2.69300007820129,NA,2.86488426923752,2.52111588716507,0,0,0.270842045545578,0.0187726859003305,NA,2017
